US1GACW0009,20240522,SNOW,0,,,N,0700
NO000014030,20240531,TMAX,151,,,S,
MLM00061285,20240508,TMIN,331,,,S,
USW00094790,20240502,WDF2,260,,,W,
US1MNSR0108,20240512,SNOW,0,,,N,0800
USC00355362,20240516,SNOW,0,,,7,
USC00206510,20240520,TMIN,89,,,7,0800
USS0016A12S,20240511,WESD,5563,,,T,
USS0015C05S,20240531,TOBS,35,,,T,
US1SCOC0093,20240523,PRCP,0,,,N,0730
ASN00017032,20240514,PRCP,0,,,a,
US1NMOT0100,20240512,PRCP,0,,,N,0800
USR0000ASES,20240525,TAVG,244,,,U,
ASN00053044,20240515,PRCP,0,,,a,
US1INAL0078,20240529,PRCP,117,,,N,0700
USW00013872,20240531,SNWD,0,,,7,2400
USR0000NREN,20240514,TMAX,161,H,,U,
US1KSRP0017,20240520,PRCP,10,,,N,0800
US1FLDV0028,20240524,SNOW,0,,,N,0700
FIE00145677,20240524,TMAX,266,,,E,
USW00094988,20240504,AWBT,111,,,W,
TH000048351,20240529,PRCP,5,,,S,
USW00093874,20240508,ADPT,239,,,W,
US1FLOR0074,20240501,SNOW,0,,,N,1300
USS0015C09S,20240530,TOBS,-24,,,T,
COM00080370,20240508,TMIN,90,,,S,
USS0007J04S,20240528,TMIN,6,,,T,
SW000024180,20240512,TAVG,141,H,,S,
FRM00007481,20240526,PRCP,0,,,S,
USC00118916,20240502,TOBS,150,,,7,0800
USC00130536,20240503,TOBS,111,,,7,0900
ASN00004019,20240503,PRCP,0,,,a,
CA1ON000978,20240520,SNOW,0,,,N,0700
USS0006K44S,20240522,WESD,0,,,T,
US1KSFO0062,20240526,PRCP,89,,,N,0700
USC00056520,20240520,TOBS,72,,,7,0830
USW00094008,20240528,RHMN,25,,,W,
ASN00010564,20240526,PRCP,14,,,a,
ASN00049002,20240529,MDTX,224,,,a,
ASN00088110,20240507,TMIN,50,,,a,
US1ORHR0008,20240505,PRCP,226,,,N,0800
USC00407808,20240518,TMAX,206,,,7,0800
USC00332585,20240509,PRCP,79,,,7,2400
USS0014K01S,20240516,WESD,0,,,T,
CA1QC000086,20240504,PRCP,5,,,N,0800
US1FLPB0037,20240514,SNOW,0,,,N,0700
USC00458521,20240511,TOBS,144,,,7,0700
US1GASV0007,20240503,PRCP,0,,,N,0700
USC00141762,20240514,TMAX,211,,,7,0700
US1TXTI0006,20240528,SNOW,0,,,N,0800
US1SCBF0022,20240509,SNOW,0,,,N,0700
PEM00084628,20240505,PRCP,0,,,S,
GME00128182,20240528,TMAX,186,,,E,
USS0010E20S,20240530,TMAX,108,,,T,
US1WIDR0009,20240507,SNOW,0,,,N,0700
FRM00007314,20240502,TMAX,147,,,S,
USC00416210,20240531,TMAX,283,,,7,0800
USC00048606,20240508,TMIN,-6,,,7,0800
USR0000AFAR,20240515,TMAX,189,H,,U,
US1MDHR0011,20240512,PRCP,36,,,N,0700
USR0000ILIT,20240529,TMIN,67,H,,U,
US1OKCV0135,20240509,PRCP,0,,,N,0700
USR0000MROC,20240502,TAVG,2,,,U,
USW00023183,20240518,PRCP,0,,,W,2400
USW00053927,20240502,TMAX,262,,,R,
USW00094963,20240502,WSF2,67,,,W,
ASN00061078,20240508,TMAX,212,,,a,
FIE00146378,20240505,TMAX,18,,,E,
MXM00076458,20240523,TMIN,241,,,S,
USC00052196,20240503,PRCP,0,,,7,0800
SWE00139360,20240524,PRCP,0,,,E,
US1SDUN0013,20240515,PRCP,8,,,N,0700
US1NCPS0022,20240524,PRCP,38,,,N,0600
USC00324958,20240504,TMAX,106,,,7,0800
USC00347012,20240528,SNOW,0,,,7,
US1COJF0596,20240524,PRCP,0,,,N,0700
USW00024023,20240508,WDF5,280,,,W,
CHM00050788,20240515,TMAX,169,,,S,
USW00093985,20240528,WT01,1,,,W,
USW00024157,20240509,TMIN,56,,,W,2400
USC00030798,20240503,MXPN,250,,,7,
USC00252680,20240514,SNOW,0,,,7,
US1NCWK0141,20240512,PRCP,0,,,N,0800
US1PABK0063,20240530,SNWD,0,,,N,0600
US1COLP0008,20240508,PRCP,0,,,N,0700
US1INGR0024,20240523,PRCP,0,,,N,0700
USS0010C23S,20240517,TMAX,103,,,T,
CA1BC000055,20240503,SNOW,0,,,N,0700
USC00232302,20240529,PRCP,0,,,7,0800
CA1ON000813,20240513,PRCP,15,,,N,0700
USW00093820,20240525,RHAV,76,,,W,
USC00018385,20240513,PRCP,8,,,7,0700
USC00298535,20240522,MXPN,317,,,7,
USC00150422,20240512,SNOW,0,,,7,
USC00109065,20240513,TMAX,217,,,7,0700
USC00471897,20240509,SNWD,0,,,7,0800
BHM00078583,20240511,PRCP,0,,,S,
RSM00025400,20240517,PRCP,0,B,,S,
ASN00042053,20240503,PRCP,0,,,a,
USW00026529,20240526,WSF5,107,,,W,
US1NCDV0017,20240523,SNOW,0,,,N,0600
